Date,Open,High,Low,Close,Volume
1/3/2012 16:00:00,7477.03,7659.97,7459.45,7624.32,0
1/4/2012 16:00:00,7624.32,7624.32,7612.15,7612.15,0
1/5/2012 16:00:00,7624.32,7624.32,7599.97,7599.97,0
1/6/2012 16:00:00,7599.97,7601.48,7557.68,7557.68,0
1/9/2012 16:00:00,7557.68,7588.89,7539.34,7584.66,0
1/10/2012 16:00:00,7584.66,7688.22,7584.66,7668.9,0
1/11/2012 16:00:00,7668.9,7668.9,7661.98,7661.98,0
1/12/2012 16:00:00,7661.98,7691.1,7622.53,7681.26,0
1/13/2012 16:00:00,7681.26,7681.26,7632.03,7632.03,0
1/17/2012 16:00:00,7632.03,7723.48,7632.03,7670.47,0
1/18/2012 16:00:00,7670.47,7766.95,7662.45,7766.95,0
1/19/2012 16:00:00,7766.95,7824.07,7766.95,7819.37,0
1/20/2012 16:00:00,7819.37,7829.37,7793.01,7829.33,0
1/23/2012 16:00:00,7829.33,7885.57,7819.51,7855.52,0
1/24/2012 16:00:00,7843.94,7843.94,7840.65,7840.65,0
1/25/2012 16:00:00,7829.22,7926.33,7765.04,7914.81,0
1/26/2012 16:00:00,7829.74,7929.76,7822.73,7883.9,0
1/27/2012 16:00:00,7883.9,7897.33,7876.61,7876.61,0
1/30/2012 16:00:00,7876.61,7876.61,7834.41,7834.41,0
1/31/2012 16:00:00,7834.41,7894.94,7801.27,7838.48,0
2/1/2012 16:00:00,7838.48,7968.07,7838.48,7931.45,0
2/2/2012 16:00:00,7931.45,7967.75,7920.41,7945.43,0
2/3/2012 16:00:00,7945.43,8061.92,7945.43,8060.43,0
2/6/2012 16:00:00,8060.43,8060.43,8048.03,8048.03,0
2/7/2012 16:00:00,8048.03,8081.56,7997.99,8069.71,0
2/8/2012 16:00:00,8069.71,8100.23,8038.03,8082.98,0
2/9/2012 16:00:00,8082.98,8107.24,8081.25,8081.25,0
2/10/2012 16:00:00,8081.25,8081.25,7992.03,7992.03,0
2/13/2012 16:00:00,7992.03,8065.44,7992.03,8056.23,0
2/14/2012 16:00:00,8056.23,8056.23,8029.62,8029.62,0
2/15/2012 16:00:00,8029.62,8058.82,7998.65,7998.65,0
2/16/2012 16:00:00,7998.65,8095.39,7984.04,8092.19,0
2/17/2012 16:00:00,8092.19,8129.4,8091.65,8114.51,0
2/21/2012 16:00:00,8114.79,8150.56,8095.63,8115.42,0
2/22/2012 16:00:00,8102.45,8114.7,8094.38,8094.38,0
2/23/2012 16:00:00,8092.62,8139.05,8062.77,8136.24,0
2/24/2012 16:00:00,8151.46,8176.29,8139.96,8151.97,0
2/27/2012 16:00:00,8066.02,8143.56,8066.02,8143.56,0
2/28/2012 16:00:00,8149.07,8182.02,8132.07,8171.55,0
2/29/2012 16:00:00,8182.25,8210.26,8113.25,8113.25,0
3/1/2012 16:00:00,8136.13,8189.31,8136.13,8175.11,0
3/2/2012 16:00:00,8157.66,8161.45,8125.18,8125.18,0
3/5/2012 16:00:00,8057.54,8091.27,8057.54,8091.27,0
3/6/2012 16:00:00,8000.43,8000.43,7920.14,7920.14,0
3/7/2012 16:00:00,7936.4,7992.48,7925.66,7979.78,0
3/8/2012 16:00:00,8038.8,8097.63,8023.29,8082.37,0
